crn,name,title,term,credits,status,schedule,begin,end,building,room,capacity,professor,prereq,description,major
83574,AAS 242W,Urban Change and City Politics,Fall 2018,4.0,Open,T,1230,1515,HARK,329,12,GAMM G,NULL,"Through intensive reading and discussion, we examine the politics and history of American cities. While we read scholarship drawing on the experiences of an array of cities--including Chicago, New York, Detroit, Boston, Philadelphia, Phoenix, New Haven, Atlanta, Buffalo, and Charlotte--our emphasis is on commonalities in the urban experience as well as on systematic differences. We analyze the relationship of cities to their hinterlands in the early stages of urban development, the rise of ethnic neighborhoods, suburbanization, industrialization, de-industrialization, housing and jobs, concentrated poverty, and population changes. Race, ethnicity, and class are central to this course, not only in understanding changes in neighborhoods but also in the nature of politics and governmental arrangements.",AAS
10173,AAS 253,Economics of Discrimination,Fall 2018,4.0,Open,MW,900,1015,WILMT,116,25,WOLKOFF M,ECO 108,"Economic development of African Americans during the twentieth century, with an examination of the economics of discrimination. Same as HIS 253 and AAS 253.",AAS
10184,AAS 254,WEST AFRICAN DANCE FORMS I,Fall 2018,2.0,Open,MW,1525,1640,SPURR,DANCE,25,BANGOURA K,NULL,"Dynamic dance traditions of Guinea, West Africa. Accompanied by live music, students learn footwork and movements for several rhythms and acquire familiarity with the physical stance common to many styles of West African dance. Learn to execute movements together with the rhythmic foundation provided by our drummers and become familiar with the origins and cultural significance of each dance, and the songs that accompany them.",AAS
88865,AAS 264,RACE AND RESISTENCE,Fall 2018,4.0,Open,MW,1400,1515,GRGEN,110,0,MICHAEL J,NULL,"We will consider the emergence and consolidation of African American identities as acts of resistance to the dominant culture’s racist fantasies about and representations of black women and men.  To do this, we will consider historical and contemporary examples of racist discourse, literature, and film and black counterstatements in discourse and art.  Primary case studies will involve the struggles around slavery, Reconstruction and its aftermath, black women, and black intellectuals.  Texts we discuss may include works by Hegel, Jefferson, David Walker, Douglass, D. W. Griffith’s, Chesnutt, Oscar Michaud, Du Bois, Washington, Jacobs, Faulkner, Hurston, Morrison, Spike Lee, Ta- Nehisi Coates, Cornel West, Hortense Spillers, Jared Sexton and others.",AAS
85476,AAS 268,History of White Supremacy,Fall 2018,4.0,Open,TR,1400,1515,MEL,205,20,HUDSON L,NULL,"The central theme of American history is the problem of race. At the heart of the race problem in America is the white supremacy ideology. Pre-modern concepts of human distinctions typically rested on group membership and coalesced around notable differences such as ethnicity, religion, and color, but without anything resembling a formal ideology.  In the United States, the historically constructed ideology of White Supremacy provided an intellectual foundation that supported a system of white wealth, power, and privilege. This course will examine the competing forces that produced a white supremacy ideology that was unique to the United States: conceived in the seventeenth century during the years of early settlement, it was born in the political turmoil of the Civil War and Reconstruction era, and reached adulthood in the Civil Rights struggles of the twentieth century.",AAS
10201,AAS 380,SENIOR SEMINAR,Fall 2018,4.0,Open,T,940,1220,MOREY,314,0,KEMEDJIO C,NULL,Students will draw upon their exposure to the theory methods of AAS to produce an interdisciplinary research paper on a topic of their own choosing.  Open only to senior majors.  Permission of Department required.,AAS
10216,AAS 390,SUPERVISED TEACHING,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,AAS
10227,AAS 391,INDEPENDENT STUDY,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,"Independent studies on some aspect of the problems of energy resource development in lower-income countries, solutions to it, and relationship to development issues, including work with the instructor’s Access to Hydrocarbon Energy for African Development project, can be done within this course.",AAS
10240,AAS 394,INTERNSHIP,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,Experience in an applied setting supervised on site. Approved and overseen by a University instructor.,AAS
10252,AAS 986V,FULL TIME VISITING STUDENT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,AAS
10274,AH 101,INTRO TO ART & VISUAL CULTURE,Fall 2018,4.0,Open,TR,1105,1220,MOREY,525,0,HEUER C,NULL,"This course is designed to introduce the student to aspects of the history of Western painting, sculpture, & architecture from the Renaissance through the present. We will examine the various schools & movements in their historical contexts, while paying particular attention to the histories that bear upon them, such as the influence of the classical past, religion, gender, political power, & the rise of the artist. The course will therefore attempt two goals; one, to familiarize students with the principal monuments of the western tradition from about 1400 onward, that is, the paintings, sculptures, buildings, & artifacts which form the substance of this narrative; two, to develop visual literacy, that is, the ability not only to identify but also to discuss art works in a way that develops critical competence & an understanding of how the western tradition of art has come about.",AH
88036,AH 103,WAYS OF SEEING: ART AND THE CULTURE WARS,Fall 2018,4.0,Open,TR,1400,1515,MOREY,525,30,REMMEL R,NULL,"This course examines art, exhibitions, and memorials that have sparked political controversies in the United States in the past fifty years.  Using case studies that include confederate monuments and race, David Wojnarowicz and the AIDS crisis, the 9/11 memorial and site plan competitions and nationalism, and the Sensation museum exhibition and religion, we will discuss issues such as the politics of memorials, free speech and censorship, public funding and the National Endowment for the Arts, and culture war flashpoints such as race, gender, sexuality, class, politics, and religion.",AH
87923,AH 140,HISTORY OF ARCHAEOLOGICAL THOUGHT,Fall 2018,4.0,Open,TR,1230,1345,LCHAS,163,20,BAUTISTA S,NULL,"The seminar will review the history of archaeology and the forms that the discipline takes today, emphasizing the developments and debates over the past six decades. This class focuses on the historical overview of culture, historical, processual and post-processual approaches in archaeology, and topics that illustrate the differences and similarities in these theoretical approaches.",AH
87909,AH 188,CITIES & URBANISM IN PRECOLUMBIAN MESOAMERICA AND ANDES,Fall 2018,4.0,Open,TR,1400,1515,LATT,413,20,BAUTISTA S,NULL,"While many of us may or may not live in cities today, their presence as central places for administrative, judicial, and social purposes is undeniable. Both the historical and archaeological record demonstrate the city is not a new phenomenon, but scholars debate over what actually constitutes a city, especially in the prehispanic Americas. To this end, we will read key texts about cities and urbanism that will help us better understand this debate. We will also discuss how recent anthropological approaches to studying cities have helped archaeologists better understand prehispanic urbanism and city-life.",AH
88107,AH 195,"DANTE'S ""DIVINE COMEDY"": A JOURNEY FROM INFERNO TO PARADISE, PART I. ""INFERNO"" AND ""PURGATORIO""",Fall 2018,4.0,Open,MW,1525,1640,GAVET,310,0,STOCCHI-PERUC; BARONI A,NULL,"The first of a sequence of two, the course approaches ""The Divine Comedy"" both as a poetic masterpiece and as an encyclopedia of medieval culture. Through a close textual analysis of ""Inferno,"" and the first half of ""Purgatorio,"" students learn how to approach Dante’s poetry as a vehicle for thought, an instrument of self-discovery, and a way to understand and affect the historical reality. They also gain a perspective on the Biblical, Christian, and Classical traditions as they intersect with the multiple levels of Dante’s concern, ranging from literature to history, from politics to government, from philosophy to theology. A visual component, including illustrations of the ""Comedy"" and multiple artworks pertinent to the narrative, complements the course. Class format includes lectures, discussion, and a weekly recitation session. Intensive class participation is encouraged. Dante I can be taken independently from Dante II. No prerequisites. Freshmen are welcome. Part of the Dante Humanities Cluster.",AH
10348,AH 201,ARTS AND ACTIVISM,Fall 2018,4.0,Open,TR,1230,1345,TODD,107,15,BEAUCHAMP R,NULL,"Dance is powerful.  Art is a tool that inspires social change. This course examines the relationship between social activism and artistic practice, exploring this integration in dance, art, music, and film. Through a combination of lecture and experiential learning, students will be invited to explore creative social engagement practices to understand the impact of arts in activism while also investigating the creative perspective in successful social movements.  Emphasis will be placed on socially engaged art as a practice and philosophy, creative composition within effective social movements, and the power that art can have in promoting social change.",AH
10356,AH 209,WRITING ON ART,Fall 2018,4.0,Open,TR,940,1055,MOREY,504,20,BERLO J,NULL,"This course seeks to improve students' writing and analytical skills through analysis and experimentation with different styles of writing about contemporary and historical arts. Students analyze prose by artists, historians, cultural critics, poets, and others who have written on the visual arts, with an eye towards how writing on art can be a tool for improving expression in many areas.  Slide lectures, discussions, and writing projects on objects of diverse media and historical eras will be augmented by visiting speakers and field trips to museums and galleries. This course fulfills one-half of the upper level writing requirement for both studio and art history majors.  Permission of instructor required.",AH
82957,AH 213,RACE & GENDER IN POP FILM,Fall 2018,4.0,Open,MW,1230,1345,MOREY,504,40,WILLIS S,NULL,"This course explores Hollywood's current fascination with race and gender as social issues and spectacles. In particular, we will focus on the ways that social difference have become the sites of increasingly conflicted narrative and visual interactions in our films. To examine competing representations of racial difference and sexual difference in contemporary US culture, we analyze popular films of the 1980s and 1990s, from thrillers to action films to comedies.",AH
85410,AH 237,ISLAMIC ARCHITECTURE IN CONTEXT,Fall 2018,4.0,Open,TR,1105,1220,MOREY,524,20,CHRISTENSEN P,NULL,"This course presents a review of key works of Islamic architecture from pre-modern, early modern and modern times. It will also focus on key historiographic trends from the last two centuries, introducing critical issues surrounding orientalism, imperialism, abstraction, ornament, symbolism and expertise. This course does not aim to essentialize Islamic architecture or its temporal or geographic categories. It will rather challenge and think anew the traditions that have formulated this relatively young and, as some have described, “unwieldy” field of art history. Emphasis will be placed on the multicultural and polyvalent traditions of the built environment in the Islamic world. Prior knowledge of Islam or architecture is not necessary, as important concepts and terms will be introduced through readings and discussed in class.The course emphasizes writing, critical thinking, and presentation skills through class discussions and a multi-component digital term project.",AH
10394,AH 242,HISTORY OF PHOTOGRAPHY: 1839-1915,Fall 2018,4.0,Open,MW,1025,1140,MOREY,502,20,LEWIS J,NULL,"The French author Roland Barthes described the emergence of photography in the early 19th century as a “truly unprecedented type of consciousness.” This class traces the emergence of this photographic consciousness in the 19th century as it develops within a number of specific arenas of culture & representation, from the medium’s conception in the early 19th century to its modernization in the early 20th century. The class will allow for general discussion of the history of photography with some detailed discussion of particular photographers, images, & texts. The class will look at photography as a cultural phenomenon as much as an art form, critically studying the various discursive arenas that this new medium helped to foster and redefine. We will also ask what makes photographic images so compelling, what we expect to see in them & what, distinguishes in the photographic realm a document from an artwork, & an ephemeral image from a material object.",AH
88592,AH 246,REPRESENTING AFRICAN-AMERICANS IN THE AFRICAN IMAGINATION,Fall 2018,4.0,Open,MW,1230,1345,LATT,441,20,KEMEDJIO C,NULL,"The dialogue among Africans, African-Americans, and other peoples of African descent rest on their common experiences of oppression, liberation, and cultural exchanges, experiences that have turned the Atlantic from a line of division into a dynamic bridge. This course seeks to critically investigate the shared destinies of African peoples and peoples of the African descent throughout the world. Thus, while acknowledging the centrality of the African-American experience within the Black Diaspora, this course argues that this centrality requires a critical investigation of the representation of Black America in the cultural productions of Africans, Haitians, Caribbeans and Black Europe. The Reading list include Maryse Condé, Lorraine Hansberry, Alice Walker, Paule Marshall, and Ngugi was Thiongo.",AH
10424,AH 252,FILM HISTORY: EARLY CINEMA,Fall 2018,4.0,Open,T,1815,2200,GEM,CURT,0,CARLI P,NULL,"Intro to history, technology, cultural significance of motion pictures of the ""pre-sound"" era, screenings of 35mm prints accompanied by live music in the Dryden Theatre. Special attention to major pioneers, Dickson, Porter, Lumière, Méliès, and Griffith, including a variety of internationally produced films selected from the world-famous archival film collection of the George Eastman House. Same as FMS 247",AH
82911,AH 253,FILM HISTORY: 1929-1959,Fall 2018,4.0,Open,MW,1525,1640,MOREY,504,30,WILLIS S,NULL,"This course provides a transnational survey of film history, examining the technical and formal aspects of the medium in its production and exhibition.  As we explore the development of cinema during this period, we will address a number of aesthetic and  technological issues.  For example, how did the development of sound technology affect film form?  How did it affect cross-cultural cinematic exchange?  What is the significance of genre across various film traditions?  What did the studio system contribute to Hollywood's success in the international market?  How did immigrant and exiled film personnel shape the industries they joined?  Weekly screenings and film journals required.",AH
85449,AH 262,IMPRESSIONISM & POST-IMPRESSIONISM,Fall 2018,4.0,Open,MW,1400,1515,MOREY,502,20,LEWIS J,NULL,"Covering artists from Edouard Manet to Vincent Van Gogh, and from Edgar Degas to Mary Cassatt, this course examines the work and social context of a constellation of artists whose practice in late-nineteenth-century Europe came to be known as Impressionist and Post-Impressionist. These artists’ representations of the city, the suburbs, leisure, labor, class and gender roles communicate a complex worldview in addition to a radical aesthetic. In developing general skills of analysis through the lectures, course readings, and museum visits, students should emerge from the course with a critical comprehension of the artists and their significant works, including the means to interpret the style, subject matter, and history of an emergent modernist art form.",AH
84542,AH 269,THE ART MARKET,Fall 2018,4.0,Open,TR,1525,1640,MOREY,205,20,SEIBERLING G,NULL,"This course asks what happens if you think about art as a commodity rather than in terms of creators, aesthetics, or iconography. Rather than looking at art as self-expression or the work of individual artists, this course looks at art as a commodity and in relation to economic forces. What determines the value of a work of art or an art object and why does value change over time? We will look at case studies providing a historical perspective and at the present-day explosive art market. We will investigate historical evidence on ways in which art was exchanged and evaluated, and how the profession of art dealing evolved. We will look at how dealers became involved in creating brands for artists and ways in which the contemporary art fair has blurred the line between curator and dealer. We will consider how artists work with and against the market and how art and museums figure in economic development. The class will require short writing assignments, a presentation and a research paper.",AH
88697,AH 277,WOMEN'S POWER IN IT ART,Fall 2018,4.0,Open,TR,1105,1220,MEL,219,0,BARONI A,NULL,"Emblem and metaphor of vices and virtues, the female body has been the undisputed protagonist of ancient and modern art. But how profound was the feminine influence in Italian art from the 14th to the 20th century? More specifically, what importance did female artists have in the visual arts, art collecting, art-related business, and patronage? This course will address this theme along three lines of inquiry: female portraiture and self-portraiture, body anatomy (the nude), and women’s role in the practice of the visual arts. While examining fashion as a way of understanding social conventions regulating women’s public and private life, we will also analyze how powerful and influential women artists like Isabella d’Este and Artemisia Gentileschi, or American art collectors in love with Italian culture, like Isabella Stewart Gardner and Peggy Guggenheim were, in fact, not merely ‘objects’ of (male) inspiration but real agents of innovation in the business world, in society, and in the artistic environment.",AH
84568,AH 280,NATIVE AMERICAN ART & RELIGION,Fall 2018,4.0,Open,TR,1230,1345,MOREY,502,30,BERLO J,NULL,"This class will explore the various spiritual and artistic traditions of the indigenous peoples of North America.  Ranging from the Canadian arctic to the desert Southwest, we will look at various practices including: shamanism, art and hunting magic in the Arctic, art and curing societies in the Great Lakes and Eastern Woodlands, evidence for religious practice in archaeological contexts, and Kachina societies in the Pueblo southwest.  More in-depth readings will focus on Navajo sand painting and healing, and Plains Indian spiritual traditions including the Sun Dance and Vision Quest, and their manifestations in the artistic record.  We shall also examine late 19th century crisis cults such as the Ghost Dance Religion, and pan-Indian movements in the 20th century like the Peyote Religion, as well as issues concerning secrecy, privacy, and ethics in the study of Native artistic and religious traditions.",AH
86127,AH 324,ARCHITECTURE AND ENVIRONMENT,Fall 2018,4.0,Open,T,1650,1930,MOREY,524,15,CHRISTENSEN P,NULL,"This seminar will examine architecture as an ecology of natural resources and materials,human capital and as a system producing its own indelible carbon footprint. We will explorethe notion of the “anthropocene” and how it is made manifest by, through, and in the builtenvironment. This course will be focused primarily on the modern period (1800-present) butwill engage earlier sources and examples dealing with naturalism, conservation, and habitat.The dominant narrative of the period is one of a heroic modernism in architecture, a narrativethat often obscures modern architecture’s troubled legacy of environmental degradation anddestruction. Through a series of advanced readings, we will examine a handful of specificlocations to this end, including the solar house, the mine, the landfill, the scrapyard andseveral others. Authors include Siegfried Giedion, Rachel Carson, Benjamin Bratton. Coursediscussion will revolve around the readings and students will be expected to produce a finalresearch paper.",AH
89065,AH 329,INUNDATION AND CATASTROPHE,Fall 2018,4.0,Open,T,1400,1640,MOREY,524,15,HEUER C,NULL,"From Noah to Houston, watery disasters have impacted the ways human culture has visualized, excavated, and understood itself – for better and for worse. This seminar explores the poetics of natural catastrophes of all stripes – dry and wet - looking to the various forms of response that earthly cataclysm (and its imaginings) have wrought. What do older texts and images tell us about our current environmental precarity? As much as fables of extinguished hubris, many classic accounts explore (with painstaking detail) relationships between the individual and the mass, the realms of inevitability and fate, the binaries of technology and nature. The purpose of this course is to look closely at discourses of annihilation and survival that both old and new practices have engaged. At the forefront of our inquiry will be the question – timely, it is hoped – of catastrophes (both water-borne and not) understood as cleanly ""natural"" or man-made, of cataclysms as episodic or quietly attritional.",AH
10546,AH 391,INDEPENDENT STUDY,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,Independent study under faculty guidance of a limited field of art history or individual study on a single topic at an advanced level under the guidance of a member of the art history faculty.,AH
10560,AH 393,ART HISTORY HONORS PROJECT,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,"See ""Requirements for Honors in Art History.""",AH
10571,AH 394,INTERNSHIPS,Fall 2018,0.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,Internships in London and the United States.,AH
10592,AH 394A,EURPEAN ARTS INTERNSHIP,Fall 2018,8.0,Open,TBA,NULL,NULL,NULL,NULL,0,TOPOLSKI A,NULL,NULL,AH
10606,AH 396,MUSEUM INTERNSHIP,Fall 2018,4.0,Open,TBA,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,AH
10641,AH 398,SENIOR SEMINAR: PUBLIC ART IN AMERICA,Fall 2018,4.0,Open,R,1400,1640,MOREY,524,15,SAAB J,Introduction to VCS or Introduction to Art & Visual Culture,"This class explores the history of public art in the Americas, with an emphasis on North America.  What does it mean to speak of public art or public space? What kinds interests govern the limits and definitions of publicness: church, state corporate, etc? Through a series of historical case studies and contemporary examples, as well as theoretical readings, and local field trips we will consider the ways in which art, broadly defined,creates and contests not only the idea of the public, but often the very idea of art itself.",AH
82979,AH 413,RACE & GENDER IN POP FILM,Fall 2018,4.0,Open,MW,1230,1345,MOREY,504,40,WILLIS S,NULL,"This course explores Hollywood's current fascination with race and gender as social issues and spectacles. In particular, we will focus on the ways that social difference have become the sites of increasingly conflicted narrative and visual interactions in our films. To examine competing representations of racial difference and sexual difference in contemporary US culture, we analyze popular films of the 1980s and 1990s, from thrillers to action films to comedies.",AH
89722,AH 421,EXHIBITING PHOTOGRAPHS,Fall 2018,4.0,Open,T,900,1100,GEH,NULL,10,HOSTETLER L,NULL,"This course familiarizes students with the issues and practices related to exhibiting photographs. With the guidance of the professor, an experienced museum curator, students will organize an installation in the George Eastman Museum’s History of Photography Gallery and participate in all tasks related to it, including selecting objects and creating a checklist, revising as necessary after conservation review, researching and cataloging the objects, writing exhibition labels and promotional texts, preparing the objects for display (matting, framing, etc.), working with the museum’s Exhibitions team to install the works, and giving public gallery talks.",AH
10664,AH 422,PHOTOGRAPHIC PROCESSES,Fall 2018,4.0,Open,T,900,1200,GEH,NULL,0,KNAPPER R,NULL,This course acts as an introduction to photographic preservation through the investigation of historic photographic materials.THIS COURSE IS RESTRICTED TO PPCM STUDENTS ONLY.,AH
10670,AH 422,PHOTOGRAPHIC PROCESSES - REC,Fall 2018,REC,Open,T,1330,1430,GEH,NULL,0,KNAPPER R,NULL,NULL,AH
88955,AH 423,COLLECTIONS MANAGEMENT,Fall 2018,4.0,Open,R,900,1200,GEH,NULL,0,ARNONE O,* THIS COURSE IS RESTRICTED TO PPCM STUDENTS ONLY*,"This course introduces students to national museum standards currently guiding the theory and practice of managing photographic collections and to the roles and responsibilities of those who care for such collections. Students learn to apply collections stewardship principles and explore various legal and ethical issues faced by museum professionals. The course also provides an overview of regulatory systems that ensure the integrity of collections care and of the concerns and considerations associated with a broad range of collection activities, including acquisitions and accessioning, copyright and intellectual property, collection management policies, lending, and insurance.In addition to theoretical considerations, the course provides students with practical instruction in the physical care of objects. In particular, students learn to build enclosures; perform condition reports; organize digital preservation practices and workflows; implement environmental monitoring..",AH
92789,AH 437,ISLAMIC ARCHITECTURE IN CONTEXT,Fall 2018,4.0,Open,TR,1105,1220,MOREY,524,20,CHRISTENSEN P,NULL,"This course presents a review of key works of Islamic architecture from pre-modern, early modern and modern times. It will also focus on key historiographic trends from the last two centuries, introducing critical issues surrounding orientalism, imperialism, abstraction, ornament, symbolism and expertise. This course does not aim to essentialize Islamic architecture or its temporal or geographic categories. It will rather challenge and think anew the traditions that have formulated this relatively young and, as some have described, “unwieldy” field of art history. Emphasis will be placed on the multicultural and polyvalent traditions of the built environment in the Islamic world. Prior knowledge of Islam or architecture is not necessary, as important concepts and terms will be introduced through readings and discussed in class.The course emphasizes writing, critical thinking, and presentation skills through class discussions and a multi-component digital term project.",AH
10700,AH 442,HISTORY OF PHOTOGRAPHY: 1839-1915,Fall 2018,4.0,Open,MW,1025,1140,MOREY,502,20,LEWIS J,NULL,"The French author Roland Barthes described the emergence of photography in the early 19th century as a “truly unprecedented type of consciousness.” This class traces the emergence of this photographic consciousness in the 19th century as it develops within a number of specific arenas of culture & representation, from the medium’s conception in the early 19th century to its modernization in the early 20th century. The class will allow for general discussion of the history of photography with some detailed discussion of particular photographers, images, & texts. The class will look at photography as a cultural phenomenon as much as an art form, critically studying the various discursive arenas that this new medium helped to foster and redefine. We will also ask what makes photographic images so compelling, what we expect to see in them & what, distinguishes in the photographic realm a document from an artwork, & an ephemeral image from a material object.",AH
83443,AH 453,FILM HISTORY: 1929-1959,Fall 2018,4.0,Open,MW,1525,1640,MOREY,504,30,WILLIS S,NULL,"This course provides a transnational survey of film history, examining the technical and formal aspects of the medium in its production and exhibition.  As we explore the development of cinema during this period, we will address a number of aesthetic and  technological issues.  For example, how did the development of sound technology affect film form?  How did it affect cross-cultural cinematic exchange?  What is the significance of genre across various film traditions?  What did the studio system contribute to Hollywood's success in the international market?  How did immigrant and exiled film personnel shape the industries they joined?  Weekly screenings and film journals required.",AH
10733,AH 460,MASTERS SEMINAR,Fall 2018,4.0,Open,W,900,1200,GEH,NULL,10,SHANNON H,NULL,NULL,AH
85455,AH 462,IMPRESSIONISM & POST-IMPRESSIONISM,Fall 2018,4.0,Open,MW,1400,1515,MOREY,502,20,LEWIS J,NULL,"Covering artists from Edouard Manet to Vincent Van Gogh, and from Edgar Degas to Mary Cassatt, this course examines the work and social context of a constellation of artists whose practice in late-nineteenth-century Europe came to be known as Impressionist and Post-Impressionist. These artists’ representations of the city, the suburbs, leisure, labor, class and gender roles communicate a complex worldview in addition to a radical aesthetic. In developing general skills of analysis through the lectures, course readings, and museum visits, students should emerge from the course with a critical comprehension of the artists and their significant works, including the means to interpret the style, subject matter, and history of an emergent modernist art form.",AH
