"Doughty, Kristin",DOUGHTY K; DUBLER J
"Clark, Michael",CLARK M; STEIN A
"Clark, Michael",CLARK M
"Eickbush, Thomas H",EICKBUSH T; STEIN A
"Fay, Justin",FAY J
"Fry, James D",FRY J
"Goldfarb, David S",GOLDFARB D; STEIN A
"Gorbunova, Vera",GORBUNOVA V
"Holz, Jonathan",HOLZ J
"Larracuente, Amanda",LARRACUENTE A
"Luo, Jie",LUO J
"Minckley, Robert L.",MINCKLEY R
"Presgraves, Danielle",PRESGRAVES D
"Presgraves, Daven C.",PRESGRAVES D
"Seluanov, Andrei",SELUANOV A
"Sia, Elaine",SIA E
"Simon, Matthew",SIMON M
"Welte, Michael",WELTE M
"Werren, John H.",WERREN J
"Abtahian, Maya Ravindranath",ABTAHIAN M
"Armoskaite, Solveiga",ARMOSKAITE S
"Carney, Laurel H.",CARNEY L
"Grimm, Scott",GRIMM S
"Grimm, Scott",GRIMM S; WHITE A
"Marvin, Elizabeth",MARVIN E
"McDonough, Joyce",MCDONOUGH J
"Schubert, Lenhart",SCHUBERT L
"White, Aaron",WHITE A
"Adamo, Joan",ADAMO J
"Anand, Ajay",ANAND A
"Benoit, Danielle",BENOIT D
"Berger, Andrew J.",BERGER A
"Buckley, Mark",BUCKLEY M
"Choe, Regine",CHOE R
"Condon, Jason",CONDON J
"Dalecki, Diane",DALECKI D
"Dickerson, Ian",DICKERSON I
"Howard, Thomas",HOWARD T
"Kuo, Catherine K.",KUO C
"Lalor, Edmund",LALOR E
"Lerner, Amy L.",LERNER A; GDOWSKI G
"Maddox, Ross",MADDOX R
"McGrath, James",MCGRATH J
"Parker, Kevin J.",PARKER K
"Perucchio, Renato",PERUCCHIO R
"Rolland, Jannick",ROLLAND J
"Schwarz, Douglas Mitchell",SCHWARZ D
"Seidman, Scott",SEIDMAN S
"Seidman, Scott",SEIDMAN S; LERNER A
"Vats, Kanika",VATS K
"Wu, J.H. David",WU J
"Zavislan, James M.",ZAVISLAN J
"Alevy, Ian",ALEVY I
"Amelotte, Steven",AMELOTTE S
"Chen, Xuwen",CHEN X
"Ciminelli, Joseph",CIMINELLI J
"Cohen, Frederick",COHEN F
"Gage, Mike",GAGE M
"Geba, Dan-Andrei",GEBA D
"Gonek, Steve",GONEK S
"Greenleaf, Allan",GREENLEAF A
"Grzesik, Katherine",GRZESIK K
"Heckler, Charles",HECKLER C
"Herman, Mark",HERMAN M
"Iosevich, Alex",IOSEVICH A
"Jochnowitz, Naomi",JOCHNOWITZ N
"Krishnan, Arjun",KRISHNAN A
"Lorman, Vitaly",LORMAN V
"Lubkin, Saul",LUBKIN S
"Madhu, Kalyani",MADHU K
"McDermott, Maria",MCDERMOTT M
"Mkrtchyan, Sevak",MKRTCHYAN S
"Mueller, Carl",MUELLER C
"Pakianathan, Jonathan",PAKIANATHAN J
"Petkov, Vladislav",PETKOV V
"Rajeev, Sarada G.",RAJEEV S
"Ravenel, Doug",RAVENEL D
"Ren, Rufei",REN R
"Salur, Sema",SALUR S
"Shapir, Yonathan",SHAPIR Y
"Tucker, Amanda",TUCKER A
"Tucker, Thomas",TUCKER T
"Xi, Yakun",XI Y
"Yildirim, Ustun",YILDIRIM U
"Zaino, Nicholas",ZAINO N
"Bennetto, Loisa",BENNETTO L
"Briggs, Farran",BRIGGS F
"Davis, Kevin",DAVIS K
"Gildea, Daniel",GILDEA D
"Haefner, Ralf",HAEFNER R
"Jacobs, Robert A.",JACOBS R
"Marvin, Elizabeth West",MARVIN E
"Miller, Renee",MILLER R
"Mitchell, Jude",MITCHELL J
"Raizada, Rajeev",RAIZADA R
"Shay, Elizabeth",SHAY E
"Tadin, Duje",TADIN D
"Tanenhaus, Michael K.",TANENHAUS M
"Yang, Chung-Lin Martin",YANG C
"Aluie, Hussein",ALUIE H
"Askari, Hesam",ASKARI H
"Burnham-Fay, Ethan",BURNHAM-FAY E
"Collins, Gilbert 'Rip'",COLLINS G
"Funkenbusch, Paul D.",FUNKENBUSCH P
"Kelley, Douglas H.",KELLEY D
"Muir, Chris",MUIR C; BURNHAM-FAY E
"Muir, Chris",MUIR C; SLANE L
"Pomerantz, Mike",POMERANTZ M
"Ren, Chuang",REN C
"Slane, Laura",SLANE L
"Chen, Shaw H.",CHEN S
"Chimowitz, Eldred H.",CHIMOWITZ E
"Foster, David G.",FOSTER D
"Kelley, F. Douglas",KELLEY F
"Porosoff, Marc D.",POROSOFF M
"Rothberg, Lewis J.",ROTHBERG L
"Shapir, Yonathon",SHAPIR Y
"Shestopalov, Alexander A.",SHESTOPALOV A
"Tenhaeff, Wyatt",TENHAEFF W
"White, Andrew",WHITE A
"Yates, Matthew Z.",YATES M
"Alfaro, Raquel",ALFARO R
"Bernardi, Joanne",BERNARDI J
"Bridges, William H., IV",BRIDGES W; NISHIOKA K
"Bridges, William H., IV",BRIDGES W
"Brown, Michelle Young",BROWN M
"Cho, Myounghee",CHO M
"Doran, Robert",DORAN R
"Doubleday, Meredith",DOUBLEDAY M
"Givens, Laura",GIVENS L
"Givens, John",GIVENS J
"Gustafson, Susan E.",GUSTAFSON S
"Hardy, Shizuka",HARDY S
"Hwang, June J.",HWANG J
"Kemedjio, Cilas",KEMEDJIO C
"Komocki, Kirt",KOMOCKI K
"Korn, Andrew",KORN A
"Maslennikov, Nikita ",MASLENNIKOV N
"Murano, Teresa ",MURANO T
"Nasra, Carole",NASRA C
"Papaioannou, Julie",PAPAIOANNOU J
"Pian, Ping",PIAN P
"Prendergast, Ryan",PRENDERGAST R
"Quinio, Lena",QUINIO L
"Schaefer, Claudia",SCHAEFER C
"Shino, Fumino",SHINO F
"Siniscalco, Federico",SINISCALCO F
"Taguchi, Yuki",TAGUCHI Y
"Tamate, Mariko",TAMATE M
"Tian, Guoming",TIAN G
"Weber, Elizabeth E.",WEBER E
"Wurth, Verena",WURTH V
"Bren, Kara L.",BREN K
"Fasan, Rudi",FASAN R
"Franco, Ignacio",FRANCO I
"Huo, Pengfei",HUO P
"Jones, William D.",JONES W
"Krauss, Todd D.",KRAUSS T
"McCamant, David W.",MCCAMANT D
"Mort, Brendan",MORT B
"Neidig, Michael L.",NEIDIG M
"Nilsson, Bradley L.",NILSSON B
"Paradine, Shauna",PARADINE S
"Rothberg, Lewis",ROTHBERG L
"Toder, Bruce",TODER B
"Aman, Doris",AMAN D
"BaileyShea, Matthew",BAILEYSHEA M
"Bangoura, Kerfala  ""Fana"" ",BANGOURA K
"Cashner, Andrew",CASHNER A
"Covach, John",COVACH J
"Covach, Julie",COVACH J
"Frank, Bruce",FRANK B
"Gregory, Naomi",GREGORY N
"Kyker, Jennifer",KYKER J
"Meconi, Honey",MECONI H
"Meeker, Chris",MEEKER C
"Pilato, Bruce",PILATO B
"Silvey, Philip",SILVEY P
"Tiberio, William",TIBERIO W
"Titus, Jason",TITUS J
"Waddell, Rachel L.",WADDELL R
"Davies, Patrick",DAVIES P
"Elenbaas, Laura",ELENBAAS L
"Elliot, Andrew",ELLIOT A
"Estrada, Marie-Joelle",ESTRADA M
"Glenn, Catherine (Cassie)",GLENN C
"Jamieson, Jeremy P.",JAMIESON J
"Niemiec, Christopher",NIEMIEC C
"Reis, Harry",REIS H
"Rogge, Ronald D.",ROGGE R
"Smetana, Judith",SMETANA J
"Starr, Lisa",STARR L
"Zuckerman, Miron",ZUCKERMAN M
"Bentley, Julie",BENTLEY J
"Bigelow, Nicholas P.",BIGELOW N
"Boyd, Robert",BOYD R
"Brown, Thomas G.",BROWN T
"Buralli, Dale",BURALLI D
"Cardenas, Jaime",CARDENAS J
"Cobb, Josh",COBB J
"Eastman, Clarke",EASTMAN C
"Eberly, Joseph H.",EBERLY J
"Fienup, James R.",FIENUP J
"Knox, Wayne H.",KNOX W
"Kruschwitz, Jennifer D. T.",KRUSCHWITZ J
"Lin, Qiang",LIN Q
"Lukishova, Svetlana G.",LUKISHOVA S
"Nelson, Jessica DeGroote",NELSON J
"Oliver, James",OLIVER J
"Pomerantz, Michael",POMERANTZ M
"Renninger, William",RENNINGER W
"Savich, Greg",SAVICH G
"Wicks, Gary W.",WICKS G
"Bai, Zhen",BAI Z
"Criswell, John",CRISWELL J
"Ding, Chen",DING C
"Duan, Zhiyao",DUAN Z
"Ferguson, George",FERGUSON G
"Ghoshal, Gourab",GHOSHAL G
"Howard, Thomas M.",HOWARD T
"Huang, Michael",HUANG M
"Ipek, Engin",IPEK E
"Kostin, Robert",KOSTIN R
"Loporcaro, Joseph",LOPORCARO J
"Luo, Jiebo",LUO J
"Nelson, Randal C.",NELSON R
"Pai, Sreepathi",PAI S
"Pawlicki, Thaddeus E.",PAWLICKI T
"Sarkis, Richard",SARKIS R
"Schubert, Lenhart K.",SCHUBERT L
"Scott, Michael L.",SCOTT M
"Sharma, Gaurav",SHARMA G
"Stefankovic, Daniel",STEFANKOVIC D
"Wang, Shaojie",WANG S
"Xu, Chenliang",XU C
"Zhupa, Eustrat",ZHUPA E
"Berger, Karen",BERGER K
"Borrelli, Chiara",BORRELLI C
"Higgins, Penny",HIGGINS P
"Kessler, John",KESSLER J
"Mitra, Gautam",MITRA G
"Nakajima, Miki",NAKAJIMA M
"Olugboji, Tolulope",OLUGBOJI T
"Petrenko, Vasilii",PETRENKO V
"Tarduno, John A.",TARDUNO J
"Trail, Dustin",TRAIL D
"Weber, Thomas",WEBER T
"Anand, Atma",ANAND A
"BenZvi, Segev Y.",BENZVI S
"Bergstralh, Dan T.",BERGSTRALH D
"Bocko, Mark F.",BOCKO M
"Bodek, Arie",BODEK A; WADE L
"Boyd, Robert W.",BOYD R
"Brown, Michael",BROWN M
"Demina, Regina",DEMINA R
"Dery, Hanan",DERY H
"Douglass, Kelly A.",DOUGLASS K
"Frank, Adam",FRANK A
"Gao, Yongli",GAO Y
"Manly, Steven L.",MANLY S
"Mitchell, James A.",MITCHELL J
"Nelson, JJ",NELSON J
"Nichol, John M.",NICHOL J
"Oliver, Jenni",OLIVER J
"Orr, Lynne H.",ORR L
"Quillen, Alice C.",QUILLEN A
"Sarkis, Richard E.",SARKIS R
"Schroeder, Wolf-Udo",SCHROEDER W
